column,dtype,n,n_missing,pct_missing,n_unique,is_feature_candidate,is_global
slv_high_diff_1,float64,9283,2310,0.2488419691909943,1617,True,True
slv_close_diff_1,float64,9283,2310,0.2488419691909943,1659,True,True
slv_adj_close_diff_1,float64,9283,2310,0.2488419691909943,1659,True,True
slv_adj_close_logret_1,float64,9283,2310,0.2488419691909943,4648,True,True
slv_volume_diff_1,float64,9283,2310,0.2488419691909943,4738,True,True
slv_adj_close_lag1,float64,9283,2310,0.2488419691909943,2249,True,True
slv_low_logret_1,float64,9283,2310,0.2488419691909943,4650,True,True
slv_open_lag1,float64,9283,2310,0.2488419691909943,2287,True,True
slv_open_diff_1,float64,9283,2310,0.2488419691909943,1633,True,True
slv_open_logret_1,float64,9283,2310,0.2488419691909943,4675,True,True
slv_adj_close,float64,9283,2309,0.2487342453948077,2249,True,True
slv_close_log,float64,9283,2309,0.2487342453948077,2249,True,True
slv_adj_close_log,float64,9283,2309,0.2487342453948077,2249,True,True
slv_volume_log,float64,9283,2309,0.2487342453948077,4732,True,True
slv_open,float64,9283,2309,0.2487342453948077,2287,True,True
slv_close,float64,9283,2309,0.2487342453948077,2249,True,True
slv_low,float64,9283,2309,0.2487342453948077,2236,True,True
slv_high,float64,9283,2309,0.2487342453948077,2292,True,True
slv_high_log,float64,9283,2309,0.2487342453948077,2292,True,True
slv_volume,float64,9283,2309,0.2487342453948077,4732,True,True
slv_low_log,float64,9283,2309,0.2487342453948077,2236,True,True
slv_open_log,float64,9283,2309,0.2487342453948077,2287,True,True
dd_lag1_dd_score_dist_min21,float64,9283,2252,0.2425939890121728,9,True,False
dd_lag1_dd_score_pct_21,float64,9283,2213,0.23839276096089626,18,True,False
dd_lag1_dd_score_dist_max21,float64,9283,2152,0.23182160939351504,10,True,False
gc_f_volume_dist_min21,float64,9283,2137,0.23020575245071637,3135,True,True
dd_lag1_dd_score_dist_max63,float64,9283,2068,0.2227728105138425,10,True,False
dd_lag1_dd_score_dist_max126,float64,9283,1942,0.20919961219433372,10,True,False
iau_close_lag63,float64,9283,1917,0.2065065172896693,2470,True,True
iau_volume_lag63,float64,9283,1917,0.2065065172896693,4849,True,True
iau_adj_close_lag63,float64,9283,1917,0.2065065172896693,2470,True,True
iau_open_lag63,float64,9283,1917,0.2065065172896693,2439,True,True
iau_low_lag63,float64,9283,1917,0.2065065172896693,2456,True,True
iau_high_lag63,float64,9283,1917,0.2065065172896693,2457,True,True
iau_volume_roll_mean126,float64,9283,1884,0.20295163201551222,7391,True,True
iau_volume_dist_min126,float64,9283,1884,0.20295163201551222,5012,True,True
iau_volume_roll_std126,float64,9283,1884,0.20295163201551222,7399,True,True
iau_adj_close_roll_std126,float64,9283,1884,0.20295163201551222,7381,True,True
iau_adj_close_roll_mean126,float64,9283,1884,0.20295163201551222,7348,True,True
iau_adj_close_dist_min126,float64,9283,1884,0.20295163201551222,4273,True,True
iau_adj_close_dist_max126,float64,9283,1884,0.20295163201551222,3921,True,True
iau_volume_dist_max126,float64,9283,1884,0.20295163201551222,5011,True,True
iau_low_dist_max126,float64,9283,1884,0.20295163201551222,3962,True,True
iau_low_roll_std126,float64,9283,1884,0.20295163201551222,7386,True,True
iau_low_roll_mean126,float64,9283,1884,0.20295163201551222,7362,True,True
iau_open_dist_min126,float64,9283,1884,0.20295163201551222,4297,True,True
iau_high_dist_min126,float64,9283,1884,0.20295163201551222,4288,True,True
iau_open_dist_max126,float64,9283,1884,0.20295163201551222,3934,True,True
iau_open_roll_mean126,float64,9283,1884,0.20295163201551222,7369,True,True
iau_open_roll_std126,float64,9283,1884,0.20295163201551222,7383,True,True
iau_close_dist_min126,float64,9283,1884,0.20295163201551222,4273,True,True
iau_close_roll_mean126,float64,9283,1884,0.20295163201551222,7348,True,True
iau_close_roll_std126,float64,9283,1884,0.20295163201551222,7381,True,True
iau_close_dist_max126,float64,9283,1884,0.20295163201551222,3921,True,True
iau_high_roll_mean126,float64,9283,1884,0.20295163201551222,7351,True,True
iau_high_dist_max126,float64,9283,1884,0.20295163201551222,3934,True,True
iau_high_roll_std126,float64,9283,1884,0.20295163201551222,7374,True,True
iau_low_dist_min126,float64,9283,1884,0.20295163201551222,4291,True,True
iau_close_logret_21,float64,9283,1875,0.20198211784983303,5169,True,True
iau_close_pct_21,float64,9283,1875,0.20198211784983303,5169,True,True
iau_high_pct_21,float64,9283,1875,0.20198211784983303,5166,True,True
iau_open_logret_21,float64,9283,1875,0.20198211784983303,5176,True,True
iau_open_lag21,float64,9283,1875,0.20198211784983303,2467,True,True
iau_low_pct_21,float64,9283,1875,0.20198211784983303,5169,True,True
iau_volume_pct_21,float64,9283,1875,0.20198211784983303,5282,True,True
iau_volume_lag21,float64,9283,1875,0.20198211784983303,4878,True,True
iau_open_pct_21,float64,9283,1875,0.20198211784983303,5180,True,True
iau_volume_logret_21,float64,9283,1875,0.20198211784983303,5282,True,True
iau_low_logret_21,float64,9283,1875,0.20198211784983303,5169,True,True
iau_low_lag21,float64,9283,1875,0.20198211784983303,2484,True,True
iau_high_lag21,float64,9283,1875,0.20198211784983303,2485,True,True
iau_close_lag21,float64,9283,1875,0.20198211784983303,2498,True,True
iau_high_logret_21,float64,9283,1875,0.20198211784983303,5167,True,True
iau_adj_close_lag21,float64,9283,1875,0.20198211784983303,2498,True,True
iau_adj_close_logret_21,float64,9283,1875,0.20198211784983303,5169,True,True
iau_adj_close_pct_21,float64,9283,1875,0.20198211784983303,5169,True,True
iau_high_roll_mean63,float64,9283,1868,0.201228051276527,7352,True,True
iau_high_roll_std63,float64,9283,1868,0.201228051276527,7383,True,True
iau_close_roll_mean63,float64,9283,1868,0.201228051276527,7359,True,True
iau_high_dist_max63,float64,9283,1868,0.201228051276527,4032,True,True
iau_close_dist_min63,float64,9283,1868,0.201228051276527,4385,True,True
iau_close_dist_max63,float64,9283,1868,0.201228051276527,4033,True,True
iau_close_roll_std63,float64,9283,1868,0.201228051276527,7400,True,True
iau_low_dist_min63,float64,9283,1868,0.201228051276527,4454,True,True
iau_volume_roll_mean63,float64,9283,1868,0.201228051276527,7410,True,True
iau_volume_roll_std63,float64,9283,1868,0.201228051276527,7415,True,True
iau_volume_dist_max63,float64,9283,1868,0.201228051276527,4967,True,True
iau_adj_close_roll_std63,float64,9283,1868,0.201228051276527,7400,True,True
iau_volume_dist_min63,float64,9283,1868,0.201228051276527,4966,True,True
iau_adj_close_roll_mean63,float64,9283,1868,0.201228051276527,7359,True,True
iau_high_dist_min63,float64,9283,1868,0.201228051276527,4388,True,True
iau_adj_close_dist_min63,float64,9283,1868,0.201228051276527,4385,True,True
iau_low_roll_std63,float64,9283,1868,0.201228051276527,7390,True,True
iau_low_dist_max63,float64,9283,1868,0.201228051276527,4047,True,True
iau_open_roll_std63,float64,9283,1868,0.201228051276527,7387,True,True
iau_open_roll_mean63,float64,9283,1868,0.201228051276527,7337,True,True
iau_open_dist_max63,float64,9283,1868,0.201228051276527,3998,True,True
iau_open_dist_min63,float64,9283,1868,0.201228051276527,4397,True,True
iau_adj_close_dist_max63,float64,9283,1868,0.201228051276527,4033,True,True
iau_low_roll_mean63,float64,9283,1868,0.201228051276527,7342,True,True
iau_high_lag5,float64,9283,1859,0.2002585371108478,2495,True,True
iau_low_logret_5,float64,9283,1859,0.2002585371108478,6826,True,True
iau_close_lag5,float64,9283,1859,0.2002585371108478,2506,True,True
iau_volume_logret_5,float64,9283,1859,0.2002585371108478,7243,True,True
iau_close_logret_5,float64,9283,1859,0.2002585371108478,6784,True,True
iau_open_logret_5,float64,9283,1859,0.2002585371108478,6789,True,True
iau_volume_lag5,float64,9283,1859,0.2002585371108478,4888,True,True
iau_low_lag5,float64,9283,1859,0.2002585371108478,2494,True,True
iau_open_lag5,float64,9283,1859,0.2002585371108478,2476,True,True
iau_adj_close_lag5,float64,9283,1859,0.2002585371108478,2506,True,True
iau_adj_close_logret_5,float64,9283,1859,0.2002585371108478,6784,True,True
iau_high_logret_5,float64,9283,1859,0.2002585371108478,6784,True,True
iau_adj_close_dist_max21,float64,9283,1858,0.2001508133146612,3917,True,True
iau_high_dist_min21,float64,9283,1858,0.2001508133146612,4285,True,True
iau_adj_close_dist_min21,float64,9283,1858,0.2001508133146612,4349,True,True
iau_adj_close_roll_std21,float64,9283,1858,0.2001508133146612,7382,True,True
iau_volume_dist_min21,float64,9283,1858,0.2001508133146612,4768,True,True
iau_volume_roll_mean21,float64,9283,1858,0.2001508133146612,7399,True,True
iau_volume_roll_std21,float64,9283,1858,0.2001508133146612,7425,True,True
iau_volume_dist_max21,float64,9283,1858,0.2001508133146612,4793,True,True
iau_adj_close_roll_mean21,float64,9283,1858,0.2001508133146612,7257,True,True
iau_low_dist_max21,float64,9283,1858,0.2001508133146612,3929,True,True
iau_open_dist_max21,float64,9283,1858,0.2001508133146612,3894,True,True
iau_open_dist_min21,float64,9283,1858,0.2001508133146612,4285,True,True
iau_open_roll_mean21,float64,9283,1858,0.2001508133146612,7251,True,True
iau_close_dist_min21,float64,9283,1858,0.2001508133146612,4349,True,True
iau_low_dist_min21,float64,9283,1858,0.2001508133146612,4409,True,True
iau_close_dist_max21,float64,9283,1858,0.2001508133146612,3917,True,True
iau_open_roll_std21,float64,9283,1858,0.2001508133146612,7385,True,True
iau_high_roll_mean21,float64,9283,1858,0.2001508133146612,7261,True,True
iau_close_roll_mean21,float64,9283,1858,0.2001508133146612,7257,True,True
iau_low_roll_std21,float64,9283,1858,0.2001508133146612,7375,True,True
iau_close_roll_std21,float64,9283,1858,0.2001508133146612,7382,True,True
iau_low_roll_mean21,float64,9283,1858,0.2001508133146612,7220,True,True
iau_high_roll_std21,float64,9283,1858,0.2001508133146612,7392,True,True
iau_high_dist_max21,float64,9283,1858,0.2001508133146612,3963,True,True
iau_close_lag1,float64,9283,1855,0.19982764192610147,2509,True,True
iau_close_diff_1,float64,9283,1855,0.19982764192610147,1538,True,True
iau_close_logret_1,float64,9283,1855,0.19982764192610147,4795,True,True
iau_low_lag1,float64,9283,1855,0.19982764192610147,2497,True,True
iau_volume_diff_1,float64,9283,1855,0.19982764192610147,4783,True,True
iau_high_lag1,float64,9283,1855,0.19982764192610147,2498,True,True
iau_adj_close_logret_1,float64,9283,1855,0.19982764192610147,4795,True,True
iau_adj_close_diff_1,float64,9283,1855,0.19982764192610147,1538,True,True
iau_volume_logret_1,float64,9283,1855,0.19982764192610147,5115,True,True
iau_adj_close_lag1,float64,9283,1855,0.19982764192610147,2509,True,True
iau_high_diff_1,float64,9283,1855,0.19982764192610147,1487,True,True
iau_low_logret_1,float64,9283,1855,0.19982764192610147,4771,True,True
iau_open_logret_1,float64,9283,1855,0.19982764192610147,4754,True,True
iau_open_lag1,float64,9283,1855,0.19982764192610147,2480,True,True
iau_high_logret_1,float64,9283,1855,0.19982764192610147,4776,True,True
iau_open_diff_1,float64,9283,1855,0.19982764192610147,1535,True,True
iau_low_diff_1,float64,9283,1855,0.19982764192610147,1507,True,True
iau_volume_lag1,float64,9283,1855,0.19982764192610147,4892,True,True
iau_adj_close_log,float64,9283,1854,0.1997199181299149,2509,True,True
iau_low_log,float64,9283,1854,0.1997199181299149,2497,True,True
iau_close_log,float64,9283,1854,0.1997199181299149,2509,True,True
iau_volume_log,float64,9283,1854,0.1997199181299149,4892,True,True
iau_open,float64,9283,1854,0.1997199181299149,2480,True,True
iau_high,float64,9283,1854,0.1997199181299149,2498,True,True
iau_low,float64,9283,1854,0.1997199181299149,2497,True,True
iau_close,float64,9283,1854,0.1997199181299149,2509,True,True
iau_high_log,float64,9283,1854,0.1997199181299149,2498,True,True
iau_open_log,float64,9283,1854,0.1997199181299149,2480,True,True
iau_adj_close,float64,9283,1854,0.1997199181299149,2509,True,True
iau_volume,float64,9283,1854,0.1997199181299149,4892,True,True
gld_open_lag63,float64,9283,1846,0.19885812776042228,4147,True,True
gld_low_lag63,float64,9283,1846,0.19885812776042228,4128,True,True
gld_adj_close_lag63,float64,9283,1846,0.19885812776042228,4142,True,True
gld_close_lag63,float64,9283,1846,0.19885812776042228,4142,True,True
gld_high_lag63,float64,9283,1846,0.19885812776042228,4137,True,True
gld_volume_lag63,float64,9283,1846,0.19885812776042228,5037,True,True
gld_open_dist_min126,float64,9283,1813,0.1953032424862652,4927,True,True
gld_open_dist_max126,float64,9283,1813,0.1953032424862652,4583,True,True
gld_low_dist_max126,float64,9283,1813,0.1953032424862652,4561,True,True
gld_low_roll_std126,float64,9283,1813,0.1953032424862652,7470,True,True
gld_volume_roll_std126,float64,9283,1813,0.1953032424862652,7470,True,True
gld_volume_dist_max126,float64,9283,1813,0.1953032424862652,5079,True,True
gld_volume_dist_min126,float64,9283,1813,0.1953032424862652,5069,True,True
gld_adj_close_roll_mean126,float64,9283,1813,0.1953032424862652,7466,True,True
gld_volume_roll_mean126,float64,9283,1813,0.1953032424862652,7467,True,True
gld_adj_close_roll_std126,float64,9283,1813,0.1953032424862652,7470,True,True
gld_high_dist_max126,float64,9283,1813,0.1953032424862652,4595,True,True
gld_high_roll_std126,float64,9283,1813,0.1953032424862652,7462,True,True
gld_adj_close_dist_min126,float64,9283,1813,0.1953032424862652,4948,True,True
gld_high_roll_mean126,float64,9283,1813,0.1953032424862652,7458,True,True
gld_adj_close_dist_max126,float64,9283,1813,0.1953032424862652,4602,True,True
gld_high_dist_min126,float64,9283,1813,0.1953032424862652,4900,True,True
gld_low_roll_mean126,float64,9283,1813,0.1953032424862652,7466,True,True
gld_low_dist_min126,float64,9283,1813,0.1953032424862652,4940,True,True
gld_close_dist_min126,float64,9283,1813,0.1953032424862652,4948,True,True
gld_close_dist_max126,float64,9283,1813,0.1953032424862652,4602,True,True
gld_open_roll_std126,float64,9283,1813,0.1953032424862652,7466,True,True
gld_open_roll_mean126,float64,9283,1813,0.1953032424862652,7464,True,True
gld_close_roll_mean126,float64,9283,1813,0.1953032424862652,7466,True,True
gld_close_roll_std126,float64,9283,1813,0.1953032424862652,7470,True,True
gld_low_logret_21,float64,9283,1804,0.194333728320586,5325,True,True
gld_low_pct_21,float64,9283,1804,0.194333728320586,5325,True,True
gld_high_pct_21,float64,9283,1804,0.194333728320586,5328,True,True
gld_high_lag21,float64,9283,1804,0.194333728320586,4166,True,True
gld_adj_close_logret_21,float64,9283,1804,0.194333728320586,5326,True,True
gld_open_pct_21,float64,9283,1804,0.194333728320586,5326,True,True
gld_open_logret_21,float64,9283,1804,0.194333728320586,5325,True,True
gld_open_lag21,float64,9283,1804,0.194333728320586,4176,True,True
gld_low_lag21,float64,9283,1804,0.194333728320586,4157,True,True
gld_high_logret_21,float64,9283,1804,0.194333728320586,5328,True,True
gld_adj_close_lag21,float64,9283,1804,0.194333728320586,4171,True,True
gld_close_lag21,float64,9283,1804,0.194333728320586,4171,True,True
gld_close_pct_21,float64,9283,1804,0.194333728320586,5326,True,True
gld_close_logret_21,float64,9283,1804,0.194333728320586,5326,True,True
gld_volume_lag21,float64,9283,1804,0.194333728320586,5065,True,True
gld_volume_logret_21,float64,9283,1804,0.194333728320586,5333,True,True
