fecha,umap_abs_1,umap_abs_2,cluster_abs,umap_chg_1,umap_chg_2,cluster_chg
2000-07-06,-7.503524,3.7702515,5,8.69165,4.9990544,3
2000-07-07,-7.4611907,3.788039,5,8.694379,4.9891853,3
2000-07-08,-7.3727717,3.7055833,5,8.688231,4.987813,3
2000-07-09,-7.0776806,3.1253426,5,8.700457,5.021172,3
2000-07-10,-7.4388814,3.812333,5,8.688675,5.0839767,3
2000-07-11,-7.4581046,3.811262,5,8.722516,4.956419,3
2000-07-12,-7.425673,3.836869,5,8.743199,4.929473,3
2000-07-13,-7.4223437,3.8504777,5,8.716575,4.986765,3
2000-07-14,-7.3799186,3.8397152,5,8.534973,4.8740277,3
2000-07-15,-7.337447,3.7013407,5,8.54354,4.861257,3
2000-07-16,-7.0726213,3.141554,5,8.543219,4.855784,3
2000-07-17,-7.3834305,3.8373196,5,6.917012,4.9965506,3
2000-07-18,-7.4119596,3.829015,5,8.553473,4.8466434,3
2000-07-19,-7.395479,3.8464587,5,8.624777,4.8410335,3
2000-07-20,-7.0992084,3.2969875,5,12.1504,3.7365556,3
2000-07-21,-7.4084826,3.8080423,5,10.547309,4.364825,3
2000-07-22,-7.3348556,3.6652577,5,10.529824,4.3756847,3
2000-07-23,-7.0808225,3.1337006,5,10.400441,4.4582944,3
2000-07-24,-7.453433,3.7903988,5,6.862404,4.967839,3
2000-07-25,-7.438744,3.812632,5,10.298696,4.555886,3
2000-07-26,-7.441674,3.835295,5,10.240337,4.5285697,3
2000-07-27,-7.3686366,3.8934128,5,10.2914,4.491537,3
2000-07-28,-7.3829184,3.855888,5,10.655098,3.7090957,3
2000-07-29,-7.27257,3.6845338,5,10.748789,3.7383327,3
2000-07-30,-7.031801,3.1643775,5,10.78823,3.7213423,3
2000-07-31,-7.3694234,3.8336926,5,10.788836,3.7256975,3
2000-08-01,-7.1973095,3.920432,5,11.20858,-0.10111198,3
2000-08-02,-7.1730485,3.9284363,5,11.207564,-0.123393,3
2000-08-03,-7.180437,3.9241009,5,11.212118,-0.114318885,3
2000-08-04,-7.18216,3.9417102,5,11.212906,-0.3029521,3
